access_id,customer_id,access_date,access_category,page_visited,session_duration,device_type,browser,ip_address,referral_source,geolocation,activity_type
584,498,2024-05-30,Support,category,30,Tablet,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_9) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/50.0.839.0 Safari/536.2",113.134.95.27,today,Jasmineshire,capital
84,927,2024-05-07,Checkout,privacy,47,Tablet,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/25.0.896.0 Safari/535.1",200.238.4.105,financial,New Waynemouth,campaign
151,251,2024-03-23,Product Page,about,56,Mobile,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_7) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/60.0.837.0 Safari/532.2",151.4.156.238,suddenly,Lake Sarachester,generation
34,173,2024-05-07,Product Page,terms,19,Mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/25.0.819.0 Mobile/66V423 Safari/536.0",42.17.136.192,as,Alexanderview,five
576,931,2024-03-01,Checkout,register,44,Desktop,"Mozilla/5.0 (Windows 98) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/51.0.893.0 Safari/532.2",163.107.78.57,page,Jenniferstad,drug
714,696,2024-05-07,Home,index,89,Mobile,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/13.0.823.0 Safari/531.1",22.208.83.94,road,Lake Candace,last
262,696,2024-04-25,Support,category,70,Desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/41.0.808.0 Safari/534.1",13.137.98.227,tough,Lake Brandonland,challenge
106,433,2024-06-20,Support,about,38,Desktop,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/45.0.810.0 Safari/536.0",170.29.82.66,news,Lake Marissaburgh,grow
645,116,2024-07-09,Home,homepage,17,Tablet,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_5) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/16.0.886.0 Safari/536.0",59.185.176.172,other,Jamiechester,hope
607,672,2024-03-13,Checkout,faq,4,Desktop,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/57.0.807.0 Safari/534.2",181.175.48.50,beautiful,Garciachester,deal
